ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
942,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/13/2006,4.4,
943,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/13/2006,0.0,
944,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/13/2006,4.4,
945,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/13/2006,0,
946,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/13/2006,5.2,
947,R19,Val Vista WTP treated water,srp,val vista-treated,6/13/2006,0,
948,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/13/2006,4.4,
949,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/13/2006,4.6,
950,R25,verde river at beeline highway,verde,verde @ beeline,6/13/2006,9.3,
951,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/13/2006,4.6,
952,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/13/2006,4.4,
953,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/13/2006,0.0,
954,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/13/2006,0.0,
955,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/13/2006,4.8,
956,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/13/2006,2.0,
957,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/13/2006,4.8,
958,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/13/2006,5.0,
959,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/13/2006,5.2,
960,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/13/2006,3,
961,Green In,Greenway WTP Inlet,srp,Green In,6/13/2006,4.5,
1028,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,8/14/2006,0.0,
1029,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/14/2006,5.3,
1030,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/14/2006,4.7,
1031,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/14/2006,3.7,
1032,SPT Out,Tempe's South Plant treated water,tempe,STP Out,8/14/2006,0,
1033,Green In,Greenway WTP Inlet,srp,Green In,8/14/2006,6.2,
1034,Green Out,Greenway WTP Outlet,srp,Green Out,8/14/2006,0.0,
1035,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/14/2006,3.5,
1036,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/14/2006,4.5,
1037,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/14/2006,16.2,
1038,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/14/2006,10.6,
1039,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/14/2006,5.1,
1040,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,8/14/2006,5.1,
1041,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/14/2006,4.0,
1042,R20,Verde River at Tangle,verde,verde abv horseshoe,8/14/2006,20.1,
1043,Havasu 1,Havasu lake Sample,,Havasu 1,8/14/2006,2.3,
1044,Havasu 2,Havasu lake Sample,,Havasu 2,8/14/2006,,
1045,R3,Waddell Canal,cap,waddell canal,9/12/2006,0.0,
