"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2000-03-15,NA,28.9,6.2,NA,101,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2000-03-15,NA,25,5.9,NA,101,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2000-03-15,NA,6.8,0,NA,107,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2000-03-15,NA,6.4,2.4,NA,95,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2000-03-16,NA,0,5.1,NA,107,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2000-03-16,NA,4.4,0,NA,96,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2000-03-16,NA,4.8,0,NA,114,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2000-03-16,NA,3.7,6.6,NA,103,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2000-03-16,NA,2.1,3.4,NA,102,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st",2000-03-16,"field duplicate",2.7,4.1,NA,107,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2000-03-16,NA,2.5,2.3,NA,107,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2000-03-16,NA,2.1,0,NA,107,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2000-03-16,NA,0,0,NA,112,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2000-03-16,NA,2.4,0,NA,110,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2000-03-17,NA,6.6,0,NA,104,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2000-03-17,NA,0,0,NA,103,0,5,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2000-03-17,NA,21.5,3.8,NA,100,24,3,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2000-03-17,NA,15.1,0,NA,108,21,6,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2000-03-17,NA,5.7,2.2,NA,100,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2000-03-17,NA,6.1,2.1,NA,114,15,8,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2000-03-17,NA,4.2,0,NA,105,0,0,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2000-03-30,NA,3.2,2,NA,114.3,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2000-04-13,NA,4,4.1,NA,86.5,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2000-04-13,NA,4.6,0,NA,86.8,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2000-04-13,NA,4.5,0,NA,106.5,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2000-04-13,NA,3.4,7.1,NA,104.9,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2000-04-13,NA,5.2,2,NA,105.3,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2000-04-13,NA,2.2,0,NA,100.3,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2000-04-13,NA,2.4,2.3,NA,93.8,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2000-04-13,NA,4.6,4.9,NA,101,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2000-04-14,NA,4.2,0,NA,89,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2000-04-14,NA,0,3.1,NA,93.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2000-04-14,NA,6.5,0,NA,76.1,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2000-04-14,NA,4.2,2.3,NA,82.7,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2000-04-14,NA,8.3,6.2,NA,99.2,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2000-04-14,NA,10.1,0,NA,61.9,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi",2000-04-14,"field duplicate",6.9,2.4,NA,87.6,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2000-04-14,NA,5.4,0,NA,93.8,NA,NA,NA
